filename,fold,target,category,esc10,src_file,take
3-147343-A-34.wav,3,34,can_opening,FALSE,147343,A
5-180156-C-43.wav,5,43,car_horn,FALSE,180156,C
3-181278-A-22.wav,3,22,clapping,FALSE,181278,A
3-171937-A-34.wav,3,34,can_opening,FALSE,171937,A
3-149465-A-22.wav,3,22,clapping,FALSE,149465,A
5-233260-A-23.wav,5,23,breathing,FALSE,233260,A
4-149294-A-41.wav,4,41,chainsaw,TRUE,149294,A
4-172366-A-37.wav,4,37,clock_alarm,FALSE,172366,A
2-73544-A-27.wav,2,27,brushing_teeth,FALSE,73544,A
1-57163-A-38.wav,1,38,clock_tick,TRUE,57163,A
4-191015-A-43.wav,4,43,car_horn,FALSE,191015,A
2-69131-A-5.wav,2,5,cat,FALSE,69131,A
4-171706-A-23.wav,4,23,breathing,FALSE,171706,A
3-197435-B-22.wav,3,22,clapping,FALSE,197435,B
2-77945-B-41.wav,2,41,chainsaw,TRUE,77945,B
3-170002-A-34.wav,3,34,can_opening,FALSE,170002,A
1-36393-A-23.wav,1,23,breathing,FALSE,36393,A
3-166546-B-34.wav,3,34,can_opening,FALSE,166546,B
1-56380-A-5.wav,1,5,cat,FALSE,56380,A
5-207681-A-24.wav,5,24,coughing,FALSE,207681,A
1-58923-A-27.wav,1,27,brushing_teeth,FALSE,58923,A
1-115920-B-22.wav,1,22,clapping,FALSE,115920,B
3-153057-A-43.wav,3,43,car_horn,FALSE,153057,A
3-112557-A-23.wav,3,23,breathing,FALSE,112557,A
5-221568-A-22.wav,5,22,clapping,FALSE,221568,A
2-95567-A-23.wav,2,23,breathing,FALSE,95567,A
1-21934-A-38.wav,1,38,clock_tick,TRUE,21934,A
2-72547-C-14.wav,2,14,chirping_birds,FALSE,72547,C
3-126391-B-27.wav,3,27,brushing_teeth,FALSE,126391,B
5-251962-A-47.wav,5,47,airplane,FALSE,251962,A
3-144128-B-23.wav,3,23,breathing,FALSE,144128,B
5-212181-A-38.wav,5,38,clock_tick,TRUE,212181,A
5-184871-A-24.wav,5,24,coughing,FALSE,184871,A
2-59565-A-46.wav,2,46,church_bells,FALSE,59565,A
2-105270-A-47.wav,2,47,airplane,FALSE,105270,A
1-43807-B-47.wav,1,47,airplane,FALSE,43807,B
5-170338-A-41.wav,5,41,chainsaw,TRUE,170338,A
5-260011-A-34.wav,5,34,can_opening,FALSE,260011,A
2-54086-A-43.wav,2,43,car_horn,FALSE,54086,A
2-94230-A-27.wav,2,27,brushing_teeth,FALSE,94230,A
1-40154-A-46.wav,1,46,church_bells,FALSE,40154,A
5-215449-A-47.wav,5,47,airplane,FALSE,215449,A
5-221878-A-34.wav,5,34,can_opening,FALSE,221878,A
2-89516-A-37.wav,2,37,clock_alarm,FALSE,89516,A
4-216349-A-34.wav,4,34,can_opening,FALSE,216349,A
4-251959-A-47.wav,4,47,airplane,FALSE,251959,A
1-64398-B-41.wav,1,41,chainsaw,TRUE,64398,B
1-54918-A-14.wav,1,14,chirping_birds,FALSE,54918,A
5-216370-A-41.wav,5,41,chainsaw,TRUE,216370,A
5-179865-A-43.wav,5,43,car_horn,FALSE,179865,A
1-68628-A-27.wav,1,27,brushing_teeth,FALSE,68628,A
3-138114-A-22.wav,3,22,clapping,FALSE,138114,A
1-17092-A-27.wav,1,27,brushing_teeth,FALSE,17092,A
3-166546-A-34.wav,3,34,can_opening,FALSE,166546,A
1-34495-A-14.wav,1,14,chirping_birds,FALSE,34495,A
3-118656-A-41.wav,3,41,chainsaw,TRUE,118656,A
2-76408-A-22.wav,2,22,clapping,FALSE,76408,A
2-123896-A-24.wav,2,24,coughing,FALSE,123896,A
1-48413-A-38.wav,1,38,clock_tick,TRUE,48413,A
2-98392-A-23.wav,2,23,breathing,FALSE,98392,A
1-60676-A-34.wav,1,34,can_opening,FALSE,60676,A
5-252248-A-34.wav,5,34,can_opening,FALSE,252248,A
3-112557-B-23.wav,3,23,breathing,FALSE,112557,B
4-161303-A-5.wav,4,5,cat,FALSE,161303,A
2-54961-A-23.wav,2,23,breathing,FALSE,54961,A
4-161099-B-47.wav,4,47,airplane,FALSE,161099,B
5-171653-A-41.wav,5,41,chainsaw,TRUE,171653,A
1-115921-A-22.wav,1,22,clapping,FALSE,115921,A
4-176638-A-43.wav,4,43,car_horn,FALSE,176638,A
5-261464-A-23.wav,5,23,breathing,FALSE,261464,A
1-43807-C-47.wav,1,47,airplane,FALSE,43807,C
3-174840-A-43.wav,3,43,car_horn,FALSE,174840,A
2-61618-A-46.wav,2,46,church_bells,FALSE,61618,A
3-118658-A-41.wav,3,41,chainsaw,TRUE,118658,A
5-250753-A-34.wav,5,34,can_opening,FALSE,250753,A
1-19898-B-41.wav,1,41,chainsaw,TRUE,19898,B
2-25293-A-22.wav,2,22,clapping,FALSE,25293,A
2-98676-A-24.wav,2,24,coughing,FALSE,98676,A
5-185579-A-41.wav,5,41,chainsaw,TRUE,185579,A
